buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5015.0,5.0,1000.0,28.700381054159873,5.326385662931235,5000,5000.0,187.7445740699768
6018.0,6.0,1000.0,28.938289968475466,14.137211852791868,6000,6000.0,258.4798803329468
7021.0,7.0,1000.0,37.96191285317836,14.117951771274145,7000,7000.0,329.31168580055237
8024.0,8.0,1000.0,35.54666130796554,14.09421203083453,8000,8000.0,400.2627971172333
9027.0,9.0,1000.0,20.384516388095086,14.104592507166592,9000,9000.0,471.1616909503937
10030.0,10.0,1000.0,60.71687205684144,14.115261420362314,10000,10000.0,542.0069966316223
11033.0,11.0,1000.0,43.17850245025568,10.631414174927068,11000,11000.0,636.0678610801697
12036.0,12.0,1000.0,46.051814082569585,14.114694878853493,12000,12000.0,706.9160103797913
13039.0,13.0,1000.0,42.25846101700307,14.110104041321295,13000,13000.0,777.7872107028961
14042.0,14.0,1000.0,28.419044240853918,14.09624875729938,14000,14000.0,848.7280707359314
15045.0,15.0,1000.0,41.859652906518924,14.088461379079316,15000,15000.0,919.7081432342529
16048.0,16.0,1000.0,40.43548008007789,14.095078555262917,16000,16000.0,990.6548929214478
17051.0,17.0,1000.0,37.32667204861205,14.097745817196284,17000,17000.0,1061.5882198810577
18054.0,18.0,1000.0,29.267090634355625,14.09788351889546,18000,18000.0,1132.5208542346954
19057.0,19.0,1000.0,57.01289316746306,14.114426942933665,19000,19000.0,1203.3703482151031
20060.0,20.0,1000.0,34.977574446785944,14.083095354162749,20000,20000.0,1274.3774659633636
21063.0,21.0,1000.0,25.73286101011451,10.618432294308121,21000,21000.0,1368.5533273220062
22066.0,22.0,1000.0,33.63020144883785,14.099791480744885,22000,22000.0,1439.4763624668121
23069.0,23.0,1000.0,25.193904520038163,14.107961236056427,23000,23000.0,1510.3583271503448
24072.0,24.0,1000.0,28.985651730453213,14.099711756757598,24000,24000.0,1581.281763792038
25075.0,25.0,1000.0,33.18924168401813,14.120171007452823,25000,25000.0,1652.1024360656738
26078.0,26.0,1000.0,25.96855313820765,14.104652744641477,26000,26000.0,1723.001028060913
27081.0,27.0,1000.0,30.44069560390143,14.08690946831222,27000,27000.0,1793.988920211792
28084.0,28.0,1000.0,27.05216021989593,14.104445046102303,28000,28000.0,1864.8885555267334
29087.0,29.0,1000.0,35.01690764762441,14.03202568692953,29000,29000.0,1936.154104232788
30090.0,30.0,1000.0,65.32691187747383,14.072112011770976,30000,30000.0,2007.2166435718536
31093.0,31.0,1000.0,63.856927575321066,10.602171471683079,31000,31000.0,2101.5369448661804
32096.0,32.0,1000.0,41.55749250946066,14.094396930958832,32000,32000.0,2172.487125635147
33099.0,33.0,1000.0,42.30392679878238,14.071980808953967,33000,33000.0,2243.5503277778625
34102.0,34.0,1000.0,66.70767585558085,14.081554080497135,34000,34000.0,2314.5652174949646
35105.0,35.0,1000.0,63.3566765213073,14.0786741393162,35000,35000.0,2385.5946340560913
36108.0,36.0,1000.0,33.73566552109649,14.08662139127942,36000,36000.0,2456.5839779376984
37111.0,37.0,1000.0,43.844403071239476,14.075792399942499,37000,37000.0,2527.627936601639
38114.0,38.0,1000.0,47.68232735023812,14.09351358408041,38000,38000.0,2598.582564353943
39117.0,39.0,1000.0,46.35225751460049,14.080823325094075,39000,39000.0,2669.6011395454407
40120.0,40.0,1000.0,61.16117801852844,14.068138723260358,40000,40000.0,2740.683748960495
41123.0,41.0,1000.0,25.701864968671483,10.607312884383376,41000,41000.0,2834.958333015442
42126.0,42.0,1000.0,46.478285061501445,14.089283276024943,42000,42000.0,2905.9342648983
43129.0,43.0,1000.0,63.111990737083325,14.0901587085906,43000,43000.0,2976.905786752701
44132.0,44.0,1000.0,40.545708453288526,14.084289768288857,44000,44000.0,3047.9068830013275
45135.0,45.0,1000.0,41.93038923078749,14.069877931958091,45000,45000.0,3118.980705976486
46138.0,46.0,1000.0,63.49942565575305,14.069036305877846,46000,46000.0,3190.0587809085846
47141.0,47.0,1000.0,47.72646654518941,14.093493931203083,47000,47000.0,3261.013507604599
48144.0,48.0,1000.0,52.259481070084185,14.104311911662643,48000,48000.0,3331.913812160492
49147.0,49.0,1000.0,47.00715087908655,14.108569094632157,49000,49000.0,3402.7927231788635
50150.0,50.0,1000.0,36.555686270225635,14.082151013327527,50000,50000.0,3473.8046033382416
51153.0,51.0,1000.0,27.527184929288595,10.564985425847864,51000,51000.0,3568.4568877220154
52156.0,52.0,1000.0,59.193163408691554,14.092220825679307,52000,52000.0,3639.4180245399475
