actor_ent,actor_logprob,actor_loss,batch_reward,buffer_size,critic_loss,critic_q1,critic_q2,critic_target_q,episode,episode_length,episode_reward,fps,frame,step,total_time
8.265607604980469,-5.412404098510742,-0.06994527521909913,0.03433852198347449,5015.0,0.0049273420725949105,0.07566235055704601,0.07559427658919594,0.07599763712752611,5.0,1000.0,23.949472231619588,3.99164851198584,5000,5000.0,250.52306127548218
8.20906280899048,-5.3342955865859984,-0.2236766872704029,0.03225419198721647,6018.0,0.004592973683029414,0.22697098782658576,0.2269536661207676,0.22745108017325402,6.0,1000.0,17.414140546037753,7.478880158633489,6000,6000.0,384.232919216156
8.151980047225953,-5.278239380836487,-0.3525199693441391,0.029290635112673043,7021.0,0.003019458153983578,0.35931820100545886,0.3593163969516754,0.359838610291481,7.0,1000.0,11.734133746293388,7.388405917968159,7000,7000.0,519.5801122188568
8.094348960876465,-5.225046787261963,-0.4528453055024147,0.026714200902730228,8024.0,0.0031462557078339158,0.45291166692972185,0.45291287171840666,0.4533906678557396,8.0,1000.0,9.73833773883421,7.720682819607759,8000,8000.0,649.1023361682892
8.03615895652771,-5.167696404457092,-0.6012384103536605,0.025928273681551216,9027.0,0.005098871844820678,0.6002839168310166,0.6002858115434646,0.6008865331411362,9.0,1000.0,28.265768345798016,7.699643046996187,9000,9000.0,778.9784874916077
7.977399087905884,-5.110952787399292,-0.6909716166257859,0.026064629994332792,10030.0,0.004586514041991905,0.6914720815420151,0.6914615774154663,0.6918937958478928,10.0,1000.0,27.088407581088294,7.5926039842265,10000,10000.0,910.6856079101562
7.918058040618896,-5.0540948610305785,-0.8049084995985031,0.027996250092983246,11033.0,0.004608790626516566,0.7992363574504853,0.7992325747013092,0.7997266627550125,11.0,1000.0,47.915406408649055,7.022124531395893,11000,11000.0,1053.0926523208618
7.8581242275238035,-4.996288447380066,-0.9192967765331268,0.028182882696390153,12036.0,0.004369488809024915,0.9169549049139023,0.9169600228071213,0.9173890689611435,12.0,1000.0,28.265784673414593,7.681680179998355,12000,12000.0,1183.27250623703
7.7975856962203975,-4.938665704727173,-1.0120869455337524,0.028780213445425033,13039.0,0.00436746267369017,1.0119698040485383,1.0119621670246124,1.0124244343042375,13.0,1000.0,37.02264356318642,7.584420351476347,13000,13000.0,1315.1217391490936
7.736430126190186,-4.87970904636383,-1.0933776271343232,0.028781150821596383,14042.0,0.004258552821353078,1.0942038550376891,1.0942019355297088,1.0945145578384399,14.0,1000.0,27.699118825512013,7.6579348041302415,14000,14000.0,1445.7052488327026
7.674644781112671,-4.821002044677734,-1.170146244764328,0.028760684590786696,15045.0,0.004478188497945667,1.170223562002182,1.1702216258049012,1.1705356962680817,15.0,1000.0,29.55930631171746,7.702546072587654,15000,15000.0,1575.5324506759644
7.6122165307998655,-4.761112595558166,-1.2390071318149567,0.028397077318280936,16048.0,0.004609945786418393,1.2424408051967621,1.2424453327655791,1.242827400445938,16.0,1000.0,12.062520501787763,7.621950496504554,16000,16000.0,1706.73246383667
7.5491319284439085,-4.7009470043182375,-1.29439786195755,0.029035686418414117,17051.0,0.0046910610054619615,1.2974750521183014,1.2974811556339263,1.297774994134903,17.0,1000.0,68.88981289940057,8.180731984393036,17000,17000.0,1828.970914363861
7.485376976966858,-4.640068329811096,-1.3737211337089539,0.03120333041623235,18054.0,0.00519142617448233,1.3727743492126465,1.372777072429657,1.3730527436733246,18.0,1000.0,68.3109116635997,7.707467100128387,18000,18000.0,1958.715224981308
7.420937280654908,-4.578799785614014,-1.4751909637451173,0.03382058836147189,19057.0,0.005550361798377708,1.4724242768287659,1.4724126746654511,1.47276868724823,19.0,1000.0,72.81287887913922,7.712864617819804,19000,19000.0,2088.3687393665314
7.355797968864441,-4.516630216598511,-1.57326052236557,0.034106105897575616,20060.0,0.005690016943495721,1.5701120686531067,1.5701101100444794,1.5703330883979798,20.0,1000.0,27.347652216854232,7.723964315536195,20000,20000.0,2217.8359360694885
7.289943725585937,-4.4536213912963865,-1.6615714774131776,0.0335230497457087,21063.0,0.006622540951706469,1.660612855195999,1.6606002612113953,1.6609152889251708,21.0,1000.0,6.889973823247724,7.02353221650196,21000,21000.0,2360.21443939209
7.223358644485474,-4.390500538825989,-1.730236172914505,0.03256832406297326,22066.0,0.006769908954855054,1.7308960189819336,1.7308989200592042,1.7312291715145112,22.0,1000.0,25.814607937261762,7.628725054574397,22000,22000.0,2491.297942638397
7.156026298522949,-4.326658631324768,-1.7897753129005431,0.03233830039948225,23069.0,0.007093614120502025,1.7906844384670257,1.7906852540969849,1.7909343116283416,23.0,1000.0,25.556461886868114,8.012664165731318,23000,23000.0,2616.1003782749176
7.087929766654968,-4.261993003845215,-1.8466350691318512,0.03304144078493118,24072.0,0.008333041751757263,1.846838141679764,1.8468235201835632,1.847086673259735,24.0,1000.0,65.69193703570487,7.806965159464701,24000,24000.0,2744.191125869751
7.019051511764526,-4.196734335899353,-1.9084834606647492,0.03362494345009327,25075.0,0.011240958963055164,1.9071137421131135,1.9071132707595826,1.9074403204917907,25.0,1000.0,28.265617835147566,7.9140340078602325,25000,25000.0,2870.5489361286163
6.9493733396530155,-4.130696454048157,-1.971421248435974,0.03313222555816173,26078.0,0.01681264219991863,1.9698936371803284,1.9698874247074127,1.9701977176666259,26.0,1000.0,13.096256700816493,7.836398368961254,26000,26000.0,2998.158579826355
