buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5015.0,5.0,1000.0,37.932732061013496,4.057472032609479,5000,5000.0,246.4588794708252
6018.0,6.0,1000.0,57.99956475441824,8.641086942094995,6000,6000.0,362.18506264686584
7021.0,7.0,1000.0,15.149789300819505,8.667098695249846,7000,7000.0,477.56392645835876
8024.0,8.0,1000.0,21.45824310156707,8.41633909668574,8000,8000.0,596.3804323673248
9027.0,9.0,1000.0,21.633358221181247,9.60911089192288,9000,9000.0,700.4483342170715
10030.0,10.0,1000.0,33.13595535213077,9.795757586454123,10000,10000.0,802.5333433151245
11033.0,11.0,1000.0,55.39854750516736,7.652952553372442,11000,11000.0,933.2018659114838
12036.0,12.0,1000.0,27.287341741768056,8.834754273739057,12000,12000.0,1046.391206741333
13039.0,13.0,1000.0,61.188913715526326,8.69526387093631,13000,13000.0,1161.3963429927826
14042.0,14.0,1000.0,25.538489273729454,8.38827020435887,14000,14000.0,1280.6104335784912
15045.0,15.0,1000.0,39.56586086332402,8.71033316181617,15000,15000.0,1395.4166052341461
16048.0,16.0,1000.0,48.95515343011983,8.703565256277981,16000,16000.0,1510.3120505809784
17051.0,17.0,1000.0,24.254555501508243,7.631121164514929,17000,17000.0,1641.354394197464
18054.0,18.0,1000.0,32.20044896259124,8.126403071277172,18000,18000.0,1764.4100677967072
19057.0,19.0,1000.0,20.355432196114688,8.864380617724267,19000,19000.0,1877.221108675003
20060.0,20.0,1000.0,41.876989820726955,8.669621648257975,20000,20000.0,1992.5663967132568
21063.0,21.0,1000.0,49.68566721592362,7.241468607935487,21000,21000.0,2130.659932613373
22066.0,22.0,1000.0,34.180822518531244,8.517962943706081,22000,22000.0,2248.0588948726654
23069.0,23.0,1000.0,45.61336374227349,7.7943849926973074,23000,23000.0,2376.356381416321
24072.0,24.0,1000.0,30.8362816420106,7.623304423213746,24000,24000.0,2507.533093214035
25075.0,25.0,1000.0,39.16443706225723,8.947612335455917,25000,25000.0,2619.2947528362274
26078.0,26.0,1000.0,50.436753474878024,8.069957031074432,26000,26000.0,2743.211150407791
27081.0,27.0,1000.0,111.47464410962894,8.858568094967392,27000,27000.0,2856.096211910248
28084.0,28.0,1000.0,62.96370793623612,8.71045238669366,28000,28000.0,2970.900812625885
29087.0,29.0,1000.0,98.33642457998182,8.933968472146281,29000,29000.0,3082.8331537246704
30090.0,30.0,1000.0,100.1323593289922,9.588494413884915,30000,30000.0,3187.124815225601
31093.0,31.0,1000.0,100.38100435743563,7.195997280041552,31000,31000.0,3326.090960741043
32096.0,32.0,1000.0,27.06161601830897,8.492653381951337,32000,32000.0,3443.8397912979126
33099.0,33.0,1000.0,26.378763023192917,8.585402897111283,33000,33000.0,3560.3165624141693
34102.0,34.0,1000.0,49.071443618764526,9.2405207935192,34000,34000.0,3668.5355718135834
35105.0,35.0,1000.0,33.4898592906058,8.097477465483824,35000,35000.0,3792.030822277069
36108.0,36.0,1000.0,36.60848564236789,8.45115368695952,36000,36000.0,3910.35786318779
37111.0,37.0,1000.0,43.1182531207444,8.472713834236904,37000,37000.0,4028.3838016986847
38114.0,38.0,1000.0,73.11898045366402,8.56438517126076,38000,38000.0,4145.146416425705
39117.0,39.0,1000.0,32.7429918103977,9.021041210667786,39000,39000.0,4255.998366355896
40120.0,40.0,1000.0,40.91199831263037,8.933287284588294,40000,40000.0,4367.939242362976
41123.0,41.0,1000.0,62.93387276750238,7.2150276860920135,41000,41000.0,4506.538849830627
42126.0,42.0,1000.0,115.31948080961331,8.696836712218332,42000,42000.0,4621.523187160492
43129.0,43.0,1000.0,57.33303107573209,8.793827906509774,43000,43000.0,4735.239308834076
